timestamp,coin,open,close,high,low,volume,datetime
1606780800000,UST,1.0,0.99998,1.0003,0.99984,2155393.20106569,2020-12-01 00:00:00
1606784400000,UST,0.99998,0.99961,1.0,0.99932,4037928.39362266,2020-12-01 01:00:00
1606788000000,UST,0.99961,1.0001,1.0001,0.99956,1353576.69487569,2020-12-01 02:00:00
1606791600000,UST,1.0001,1.0003,1.0003,1.0,837861.52647913,2020-12-01 03:00:00
1606795200000,UST,1.0004,1.0001,1.0004,0.99991,929565.04594826,2020-12-01 04:00:00
1606798800000,UST,1.0001,1.0003,1.0003,0.99991,668655.63109091,2020-12-01 05:00:00
1606802400000,UST,1.0003,1.0,1.0004,1.0,789241.55485248,2020-12-01 06:00:00
1606806000000,UST,1.0,1.0002,1.0003,0.99994,840025.62858811,2020-12-01 07:00:00
1606809600000,UST,1.0002,1.0008,1.0008,1.0001,1428908.58581859,2020-12-01 08:00:00
1606813200000,UST,1.0007,1.0008,1.001,1.0006,1573871.04595499,2020-12-01 09:00:00
1606816800000,UST,1.0009,1.0021,1.0021,1.0008,4067314.24446931,2020-12-01 10:00:00
1606820400000,UST,1.002,1.0013,1.0027,1.001,6498599.16209227,2020-12-01 11:00:00
1606824000000,UST,1.0013,1.0026,1.003,1.0004,9143067.33401697,2020-12-01 12:00:00
1606827600000,UST,1.0027,1.0022,1.0035,1.0021,5805272.00404267,2020-12-01 13:00:00
1606831200000,UST,1.0023,1.0004,1.0025,1.0004,4093551.20363409,2020-12-01 14:00:00
1606834800000,UST,1.0005,1.0009,1.0011,1.0004,1959928.04273932,2020-12-01 15:00:00
1606838400000,UST,1.0009,1.0018,1.0019,1.0007,3906401.79987323,2020-12-01 16:00:00
1606842000000,UST,1.0019,1.002,1.0024,1.0016,3636323.17443559,2020-12-01 17:00:00
1606845600000,UST,1.0019,1.0019,1.0022,1.0017,1355289.50420995,2020-12-01 18:00:00
1606849200000,UST,1.002,1.0016,1.002,1.0016,1370195.56184018,2020-12-01 19:00:00
1606852800000,UST,1.0017,1.0019,1.002,1.0016,568811.78177638,2020-12-01 20:00:00
1606856400000,UST,1.0019,1.0019,1.0021,1.0018,913055.60154281,2020-12-01 21:00:00
1606860000000,UST,1.0019,1.0022,1.0025,1.0018,1341323.39016515,2020-12-01 22:00:00
1606863600000,UST,1.0021,1.0022,1.0025,1.0019,1168483.0281495,2020-12-01 23:00:00
1606867200000,UST,1.0022,1.0023,1.0029,1.0022,1877522.27921987,2020-12-02 00:00:00
1606870800000,UST,1.0023,1.0014,1.0024,1.0009,3865059.33891676,2020-12-02 01:00:00
1606874400000,UST,1.0014,1.0016,1.0016,1.001,767618.42764744,2020-12-02 02:00:00
1606878000000,UST,1.0016,1.0014,1.0017,1.0013,696886.58634407,2020-12-02 03:00:00
1606881600000,UST,1.0015,1.0015,1.0017,1.0011,1573596.16348354,2020-12-02 04:00:00
1606885200000,UST,1.0015,1.0016,1.0017,1.0014,1066452.76682984,2020-12-02 05:00:00
1606888800000,UST,1.0016,1.0019,1.0019,1.0015,677006.33309714,2020-12-02 06:00:00
1606892400000,UST,1.0019,1.0015,1.002,1.0015,1342527.76881746,2020-12-02 07:00:00
1606896000000,UST,1.0016,1.0015,1.0016,1.0009,2189825.9620805,2020-12-02 08:00:00
1606899600000,UST,1.0015,1.0014,1.0015,1.0011,830827.31791725,2020-12-02 09:00:00
1606903200000,UST,1.0014,1.0013,1.0016,1.001,1798084.29165689,2020-12-02 10:00:00
1606906800000,UST,1.0012,1.0013,1.0015,1.0012,1315849.58326192,2020-12-02 11:00:00
1606910400000,UST,1.0013,1.0014,1.0016,1.0,5802862.34337046,2020-12-02 12:00:00
1606914000000,UST,1.0014,1.0012,1.0016,1.0011,1299120.74664927,2020-12-02 13:00:00
1606917600000,UST,1.0011,1.001,1.0013,1.0008,2847630.29973573,2020-12-02 14:00:00
1606921200000,UST,1.001,1.0013,1.0013,1.0009,3145013.42170644,2020-12-02 15:00:00
1606924800000,UST,1.0013,1.001,1.0014,1.0001,6602229.65846733,2020-12-02 16:00:00
1606928400000,UST,1.001,1.0011,1.0012,1.0008,1618552.34652838,2020-12-02 17:00:00
1606932000000,UST,1.0011,1.0014,1.0015,1.0008,3014908.24738854,2020-12-02 18:00:00
1606935600000,UST,1.0014,1.0013,1.0015,1.0012,1970429.38097982,2020-12-02 19:00:00
1606939200000,UST,1.0013,1.001,1.0014,1.0005,2754324.140845,2020-12-02 20:00:00
1606942800000,UST,1.0009,1.0009,1.001,1.0006,1588624.95874615,2020-12-02 21:00:00
