timestamp,coin,open,close,high,low,volume,datetime
1606780800000,YFI,26385,26361,26401,26248,0.06814635,2020-12-01 00:00:00
1606782600000,YFI,26290,26207,26314,26103,0.04754549,2020-12-01 00:30:00
1606784400000,YFI,26122,25706,26122,25706,0.45122941,2020-12-01 01:00:00
1606786200000,YFI,25742,25611,25943,25607,0.16291199,2020-12-01 01:30:00
1606788000000,YFI,25602,25747,25790,25602,0.04355362,2020-12-01 02:00:00
1606789800000,YFI,25806,25699,25806,25581,0.10095631,2020-12-01 02:30:00
1606791600000,YFI,25950,25716,25950,25646,0.3085208,2020-12-01 03:00:00
1606793400000,YFI,25712,25759,25831,25712,0.00184069,2020-12-01 03:30:00
1606795200000,YFI,25653,25776,25867,25617,0.12151134999999999,2020-12-01 04:00:00
1606797000000,YFI,25753,25801,25801,25635,0.00068576,2020-12-01 04:30:00
1606798800000,YFI,25600,25677,25677,25346,0.30428985000000003,2020-12-01 05:00:00
1606800600000,YFI,25776,26077,26077,25723,0.01517723,2020-12-01 05:30:00
1606802400000,YFI,26150,26299,26315,26117,0.21633632,2020-12-01 06:00:00
1606804200000,YFI,26432,27333,27333,26432,1.11458745,2020-12-01 06:30:00
1606806000000,YFI,27215,27933,28205,27215,4.04395208,2020-12-01 07:00:00
1606807800000,YFI,27794,27876,27910,27552,0.30771426,2020-12-01 07:30:00
1606809600000,YFI,27806,27674,28108,27637,0.94904287,2020-12-01 08:00:00
1606811400000,YFI,27658,27297,27720,27057,12.0670667,2020-12-01 08:30:00
1606813200000,YFI,27301,27331,27570,27212,1.78624523,2020-12-01 09:00:00
1606815000000,YFI,27276,27605,27635,27276,0.34063654,2020-12-01 09:30:00
1606816800000,YFI,27589,27649,27950,27589,0.40485141,2020-12-01 10:00:00
1606818600000,YFI,27632,27500,27632,27409,1.03925569,2020-12-01 10:30:00
1606820400000,YFI,27572,26934,27621,26584,1.70730816,2020-12-01 11:00:00
1606822200000,YFI,26787,26786,27070,26600,3.51764457,2020-12-01 11:30:00
1606824000000,YFI,26651,25014,26786,25001,4.51315404,2020-12-01 12:00:00
1606825800000,YFI,25001,25591,25956,24584,3.82339652,2020-12-01 12:30:00
1606827600000,YFI,25243,26350,26390,25038,3.09520519,2020-12-01 13:00:00
1606829400000,YFI,26379,26103,26379,26071,0.77764735,2020-12-01 13:30:00
1606831200000,YFI,26091,25867,26169,25816,0.76427992,2020-12-01 14:00:00
1606833000000,YFI,25859,26480,26630,25859,1.6992082800000001,2020-12-01 14:30:00
1606834800000,YFI,26445,26756,26843,26445,0.33062995,2020-12-01 15:00:00
1606836600000,YFI,26643,26490,26700,26400,8.372575,2020-12-01 15:30:00
1606838400000,YFI,26528,26222,26847,25752,9.56859386,2020-12-01 16:00:00
1606840200000,YFI,26161,26103,26228,26042,1.0604853300000001,2020-12-01 16:30:00
1606842000000,YFI,26107,25988,26109,25606,0.49950113,2020-12-01 17:00:00
1606843800000,YFI,25936,26269,26269,25840,0.06196442,2020-12-01 17:30:00
1606845600000,YFI,26154,25867,26154,25841,0.31487356,2020-12-01 18:00:00
1606847400000,YFI,26029,25837,26089,25736,1.35606719,2020-12-01 18:30:00
1606849200000,YFI,26018,26208,26278,26018,0.35307401,2020-12-01 19:00:00
1606851000000,YFI,26284,26316,26500,26284,9.80137264,2020-12-01 19:30:00
1606852800000,YFI,26353,26185,26430,26141,0.29614712,2020-12-01 20:00:00
1606854600000,YFI,26073,26133,26161,26073,0.04418801,2020-12-01 20:30:00
1606856400000,YFI,26133,26363,26423,26077,0.37344021,2020-12-01 21:00:00
1606858200000,YFI,26431,26288,26465,26248,0.04615416,2020-12-01 21:30:00
1606860000000,YFI,26450,26644,26761,26450,0.0683129,2020-12-01 22:00:00
1606861800000,YFI,26683,26274,26683,26244,0.12107748,2020-12-01 22:30:00
1606863600000,YFI,26226,26102,26290,26100,0.30725779999999997,2020-12-01 23:00:00
1606865400000,YFI,26016,25773,26016,25773,0.35080442,2020-12-01 23:30:00
1606867200000,YFI,25627,26342,26350,25544,0.10602655,2020-12-02 00:00:00
1606869000000,YFI,26478,27134,27139,26471,0.20315599,2020-12-02 00:30:00
1606870800000,YFI,27180,27833,28136,27180,0.37762399,2020-12-02 01:00:00
1606872600000,YFI,27781,27578,27781,27378,0.11999308,2020-12-02 01:30:00
1606874400000,YFI,27750,27526,27750,27400,0.39862306,2020-12-02 02:00:00
1606876200000,YFI,27461,27169,27461,27052,0.858631,2020-12-02 02:30:00
1606878000000,YFI,27153,27236,27356,27106,0.099978,2020-12-02 03:00:00
1606879800000,YFI,27103,27210,27591,27103,0.1376362,2020-12-02 03:30:00
1606881600000,YFI,27277,27089,27587,27079,0.37031726,2020-12-02 04:00:00
1606883400000,YFI,27045,28009,28208,27045,1.09320164,2020-12-02 04:30:00
1606885200000,YFI,27984,27824,28115,27674,1.63894543,2020-12-02 05:00:00
1606887000000,YFI,27719,28040,28469,27711,1.47108603,2020-12-02 05:30:00
1606888800000,YFI,28097,27938,28220,27756,0.80014599,2020-12-02 06:00:00
1606890600000,YFI,27964,28236,28266,27964,0.27230606,2020-12-02 06:30:00
