timestamp,coin,open,close,high,low,volume,datetime
1628899500000,NEAR,3.4008,3.3983,3.4008,3.3983,0.6038529300000001,2021-08-14 00:05:00
1628899800000,NEAR,3.3986,3.3986,3.3986,3.3986,0.08444176,2021-08-14 00:10:00
1628900400000,NEAR,3.3871,3.3905,3.3913,3.3871,0.4245389,2021-08-14 00:20:00
1628900700000,NEAR,3.3788,3.3836,3.3836,3.3788,0.59118682,2021-08-14 00:25:00
1628901300000,NEAR,3.37,3.37,3.37,3.37,398.6169654,2021-08-14 00:35:00
1628901600000,NEAR,3.3693,3.3487,3.3693,3.3447,1.46807538,2021-08-14 00:40:00
1628902200000,NEAR,3.3467,3.3467,3.3467,3.3467,0.00115559,2021-08-14 00:50:00
1628902500000,NEAR,3.3505,3.3514,3.3559,3.3505,7.12094488,2021-08-14 00:55:00
1628902800000,NEAR,3.3561,3.3561,3.3561,3.3561,0.15618427,2021-08-14 01:00:00
1628903100000,NEAR,3.364,3.364,3.364,3.364,0.00108042,2021-08-14 01:05:00
1628903400000,NEAR,3.3699,3.3792,3.3792,3.361,0.38230469,2021-08-14 01:10:00
1628903700000,NEAR,3.3743,3.3756,3.3817,3.3743,0.25047164,2021-08-14 01:15:00
1628904000000,NEAR,3.382,3.382,3.382,3.382,0.20859497,2021-08-14 01:20:00
1628904300000,NEAR,3.3797,3.3788,3.3797,3.3788,3.5697376399999996,2021-08-14 01:25:00
1628904600000,NEAR,3.3696,3.3787,3.3809,3.3696,19.957619140000002,2021-08-14 01:30:00
1628904900000,NEAR,3.3675,3.3736,3.3736,3.367,0.43010671,2021-08-14 01:35:00
1628905200000,NEAR,3.356,3.3579,3.3579,3.356,0.6281694999999999,2021-08-14 01:40:00
1628905500000,NEAR,3.3686,3.3693,3.3693,3.3679,3.5404575400000002,2021-08-14 01:45:00
1628906100000,NEAR,3.3592,3.3604,3.3604,3.3592,0.34939391000000003,2021-08-14 01:55:00
1628906700000,NEAR,3.368,3.368,3.368,3.368,0.00118234,2021-08-14 02:05:00
1628907000000,NEAR,3.3528,3.3563,3.3602,3.3528,0.82147556,2021-08-14 02:10:00
1628907300000,NEAR,3.363,3.36,3.363,3.354,0.22618705,2021-08-14 02:15:00
1628907600000,NEAR,3.3584,3.3584,3.3584,3.3584,0.00975691,2021-08-14 02:20:00
1628907900000,NEAR,3.3555,3.3555,3.3555,3.3555,0.00107977,2021-08-14 02:25:00
1628908200000,NEAR,3.3555,3.36,3.36,3.3457,0.45656658,2021-08-14 02:30:00
1628908800000,NEAR,3.3395,3.3387,3.3395,3.3314,0.80829744,2021-08-14 02:40:00
1628909100000,NEAR,3.3325,3.3362,3.3399,3.3325,0.26996458,2021-08-14 02:45:00
1628909400000,NEAR,3.3468,3.3468,3.3468,3.3458,0.06780106,2021-08-14 02:50:00
1628909700000,NEAR,3.3464,3.3532,3.3532,3.3464,0.01722352,2021-08-14 02:55:00
1628910000000,NEAR,3.36,3.36,3.36,3.3599,42.939622459999995,2021-08-14 03:00:00
1628910300000,NEAR,3.36,3.36,3.36,3.36,0.49122385,2021-08-14 03:05:00
1628910900000,NEAR,3.3639,3.3639,3.3639,3.3639,0.00108378,2021-08-14 03:15:00
1628911200000,NEAR,3.3595,3.3646,3.3646,3.3566,0.17897203,2021-08-14 03:20:00
1628911800000,NEAR,3.3506,3.3538,3.3538,3.3506,0.53148595,2021-08-14 03:30:00
1628912400000,NEAR,3.341,3.3357,3.341,3.3357,0.49346942,2021-08-14 03:40:00
1628912700000,NEAR,3.3447,3.3447,3.3447,3.3447,0.18564039,2021-08-14 03:45:00
1628913300000,NEAR,3.3397,3.3412,3.3428,3.3397,0.11424543,2021-08-14 03:55:00
1628913600000,NEAR,3.3414,3.3414,3.3414,3.3414,0.02097628,2021-08-14 04:00:00
1628913900000,NEAR,3.33,3.3301,3.3301,3.33,3.54416575,2021-08-14 04:05:00
1628914200000,NEAR,3.3307,3.3832,3.3991,3.3307,568.08882343,2021-08-14 04:10:00
1628914500000,NEAR,3.3931,3.3983,3.3983,3.3822,0.45182368,2021-08-14 04:15:00
1628914800000,NEAR,3.3961,3.4063,3.4063,3.3961,3.54953459,2021-08-14 04:20:00
1628915100000,NEAR,3.4,3.3936,3.4,3.3936,275.21234341,2021-08-14 04:25:00
1628915400000,NEAR,3.405,3.3989,3.4055,3.3966,7.28301103,2021-08-14 04:30:00
1628915700000,NEAR,3.3964,3.3931,3.3964,3.3931,471.76091622,2021-08-14 04:35:00
1628916000000,NEAR,3.3806,3.3758,3.3842,3.3758,229.20928964,2021-08-14 04:40:00
1628916300000,NEAR,3.381,3.3812,3.3812,3.381,0.030826469999999998,2021-08-14 04:45:00
