timestamp,coin,open,close,high,low,volume,datetime
1606780800000,ANT,3.4336,3.5345,3.5988,3.4235,9168.49603265,2020-12-01 00:00:00
1606802400000,ANT,3.5281,3.4385,3.6463,3.3809,24420.41690947,2020-12-01 06:00:00
1606824000000,ANT,3.4358,3.3175,3.4704,3.1803,112810.99944248,2020-12-01 12:00:00
1606845600000,ANT,3.3102,3.3999,3.4019,3.2841,3542.3758291999998,2020-12-01 18:00:00
1606867200000,ANT,3.3395,3.2823,3.49,3.2589,7843.85369516,2020-12-02 00:00:00
1606888800000,ANT,3.3085,3.3325,3.3948,3.3003,5351.30325666,2020-12-02 06:00:00
1606910400000,ANT,3.3038,3.3661,3.411,3.2944,12067.90190695,2020-12-02 12:00:00
1606932000000,ANT,3.3706,3.4347,3.436,3.3402,9415.60556584,2020-12-02 18:00:00
1606953600000,ANT,3.4246,3.4061,3.4767,3.3625,9947.30364841,2020-12-03 00:00:00
1606975200000,ANT,3.3677,3.3962,3.4378,3.3539,6181.3801712800005,2020-12-03 06:00:00
1606996800000,ANT,3.4224,3.379,3.4431,3.3353,6945.13690393,2020-12-03 12:00:00
1607018400000,ANT,3.3891,3.365,3.3891,3.3283,6816.91509614,2020-12-03 18:00:00
1607040000000,ANT,3.39,3.3482,3.4134,3.3197,7355.83978673,2020-12-04 00:00:00
1607061600000,ANT,3.33,3.3153,3.452,3.2848,10348.19960431,2020-12-04 06:00:00
1607083200000,ANT,3.263,3.2444,3.315,3.2105,8512.20471275,2020-12-04 12:00:00
1607104800000,ANT,3.2426,3.2098,3.2726,3.156,6604.32497006,2020-12-04 18:00:00
1607126400000,ANT,3.21,3.2115,3.212,3.153,7285.30122555,2020-12-05 00:00:00
1607148000000,ANT,3.2106,3.211,3.2701,3.1959,7754.98639232,2020-12-05 06:00:00
1607169600000,ANT,3.2273,3.2417,3.2835,3.2067,4687.72939287,2020-12-05 12:00:00
1607191200000,ANT,3.226,3.2787,3.2861,3.226,8865.02906982,2020-12-05 18:00:00
1607212800000,ANT,3.2906,3.2453,3.3073,3.2144,7601.93277311,2020-12-06 00:00:00
1607234400000,ANT,3.2755,3.3024,3.3132,3.2155,10781.8846784,2020-12-06 06:00:00
1607256000000,ANT,3.2926,3.4984,3.4998,3.2379,12800.9188745,2020-12-06 12:00:00
1607277600000,ANT,3.4817,3.4495,3.59,3.3768,10363.21582407,2020-12-06 18:00:00
1607299200000,ANT,3.4625,3.3702,3.5024,3.3562,10276.28511403,2020-12-07 00:00:00
1607320800000,ANT,3.3814,3.3483,3.4066,3.3483,5320.3490611,2020-12-07 06:00:00
1607342400000,ANT,3.3446,3.3721,3.4386,3.3345,13597.30066453,2020-12-07 12:00:00
1607364000000,ANT,3.3687,3.3942,3.4296,3.309,10227.7363535,2020-12-07 18:00:00
1607385600000,ANT,3.3799,3.3217,3.4076,3.3215,12624.44097343,2020-12-08 00:00:00
1607407200000,ANT,3.3358,3.2479,3.3426,3.2044,9635.50614308,2020-12-08 06:00:00
1607428800000,ANT,3.2492,3.2404,3.2882,3.2135,7547.23785926,2020-12-08 12:00:00
1607450400000,ANT,3.241,3.0983,3.2493,3.0761,5957.51219667,2020-12-08 18:00:00
1607472000000,ANT,3.099,3.0443,3.1119,3.0442,5617.26546219,2020-12-09 00:00:00
1607493600000,ANT,3.0655,3.1531,3.1731,3.0259,7663.7233028,2020-12-09 06:00:00
1607515200000,ANT,3.1682,3.0591,3.1684,3.0238,5911.99521378,2020-12-09 12:00:00
1607536800000,ANT,3.0591,3.0692,3.0738,3.0424,4472.45147532,2020-12-09 18:00:00
1607558400000,ANT,3.0469,3.0404,3.0992,3.0404,6809.79554142,2020-12-10 00:00:00
1607580000000,ANT,3.0398,3.0521,3.0581,3.0225,8080.94012382,2020-12-10 06:00:00
1607601600000,ANT,3.0341,3.0143,3.0453,2.9518,10273.43496701,2020-12-10 12:00:00
1607623200000,ANT,3.0194,3.0456,3.0745,3.01,10609.08218968,2020-12-10 18:00:00
1607644800000,ANT,3.0121,2.9283,3.026,2.9188,6688.07874853,2020-12-11 00:00:00
1607666400000,ANT,2.9234,2.8417,2.9234,2.8368,8720.99393066,2020-12-11 06:00:00
1607688000000,ANT,2.8417,2.94,2.9595,2.8417,8035.85524084,2020-12-11 12:00:00
1607709600000,ANT,2.9069,2.9001,2.9361,2.8716,5492.38765379,2020-12-11 18:00:00
1607731200000,ANT,2.9233,2.9751,3.012,2.9233,10108.96272117,2020-12-12 00:00:00
1607752800000,ANT,2.9681,2.9737,2.9912,2.9454,4406.55359862,2020-12-12 06:00:00
1607774400000,ANT,2.9795,2.9728,2.9987,2.9209,12340.28470339,2020-12-12 12:00:00
1607796000000,ANT,2.9726,2.9656,2.9875,2.9625,8470.9483193,2020-12-12 18:00:00
1607817600000,ANT,2.9641,3.0125,3.0341,2.9641,7022.2635013,2020-12-13 00:00:00
1607839200000,ANT,2.9999,3.0368,3.0723,2.9767,12932.52959015,2020-12-13 06:00:00
1607860800000,ANT,3.037,3.0528,3.1029,3.0177,7781.85814704,2020-12-13 12:00:00
1607882400000,ANT,3.0549,3.0045,3.0549,2.9924,9633.28586263,2020-12-13 18:00:00
1607904000000,ANT,3.001,2.9311,3.0201,2.9135,8898.01903482,2020-12-14 00:00:00
1607925600000,ANT,2.9252,2.927,2.9857,2.9234,10253.21786166,2020-12-14 06:00:00
1607947200000,ANT,2.9375,2.9138,2.9563,2.9115,7950.95015162,2020-12-14 12:00:00
1607968800000,ANT,2.9126,2.9742,3.021,2.9089,10879.23380679,2020-12-14 18:00:00
1607990400000,ANT,2.9717,2.9441,3.0624,2.9402,6557.53423222,2020-12-15 00:00:00
1608012000000,ANT,2.9398,3.0714,3.0876,2.9398,13109.55206426,2020-12-15 06:00:00
1608033600000,ANT,3.0683,3.1182,3.1335,3.0423,9407.74321998,2020-12-15 12:00:00
1608055200000,ANT,3.0591,3.0607,3.1508,3.0558,8675.04269612,2020-12-15 18:00:00
1608076800000,ANT,3.0593,3.08,3.0993,3.039,9741.669399549999,2020-12-16 00:00:00
1608098400000,ANT,3.0703,3.1022,3.1348,3.0703,7348.8808157700005,2020-12-16 06:00:00
1608120000000,ANT,3.0829,3.1291,3.1436,3.0538,10230.59411212,2020-12-16 12:00:00
1608141600000,ANT,3.1054,3.1271,3.1478,3.0571,11393.86678636,2020-12-16 18:00:00
1608163200000,ANT,3.1194,3.1322,3.1865,3.1039,5698.155142,2020-12-17 00:00:00
1608184800000,ANT,3.1322,3.1512,3.1901,3.0291,71603.40751451,2020-12-17 06:00:00
1608206400000,ANT,3.148,3.1785,3.2128,3.1074,12376.76222524,2020-12-17 12:00:00
1608228000000,ANT,3.1642,3.0989,3.2281,3.0688,40596.32667723,2020-12-17 18:00:00
1608249600000,ANT,3.1126,3.1367,3.174,3.0803,7742.29606026,2020-12-18 00:00:00
1608271200000,ANT,3.147,3.1536,3.199,3.1455,11236.82182367,2020-12-18 06:00:00
1608292800000,ANT,3.1545,3.1629,3.1642,3.1036,7475.49323119,2020-12-18 12:00:00
1608314400000,ANT,3.1629,3.1565,3.1629,3.1395,9222.55828171,2020-12-18 18:00:00
1608336000000,ANT,3.1333,3.162,3.1677,3.1262,9284.1133126,2020-12-19 00:00:00
1608357600000,ANT,3.1622,3.1688,3.1873,3.1319,5842.05506824,2020-12-19 06:00:00
