"id","json_model","batch_size","image_size","date_added","num_params","source","dimension","up_acc","tag"
204,"{""tf_image_model_url"": ""https://tfhub.dev/tensorflow/efficientnet/b2/feature-vector/1"", ""output_key"": null, ""required_image_size"": {""height"": 260, ""width"": 260}}",16,260,2022-01-24,7768562,TensorFlow,1408,0.801,
205,"{""tf_image_model_url"": ""https://tfhub.dev/tensorflow/efficientnet/b3/feature-vector/1"", ""output_key"": null, ""required_image_size"": {""height"": 300, ""width"": 300}}",16,300,2022-01-24,10783528,TensorFlow,1536,0.816,
206,"{""tf_image_model_url"": ""https://tfhub.dev/tensorflow/efficientnet/b4/feature-vector/1"", ""output_key"": null, ""required_image_size"": {""height"": 380, ""width"": 380}}",16,380,2022-01-24,17673816,TensorFlow,1792,0.829,
58,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/resnet_v2_152/feature_vector/4"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2021-11-29,58187904,TensorFlow,2048,0.77,
56,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/resnet_v2_50/feature_vector/4"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2021-11-29,23519360,TensorFlow,2048,0.75,
60,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/mobilenet_v2_100_224/feature_vector/4"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2021-11-29,2223872,TensorFlow,1280,0.72,
61,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/nasnet_mobile/feature_vector/4"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2021-11-29,4232978,TensorFlow,1056,0.74,
57,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/resnet_v2_101/feature_vector/4"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2021-11-29,42528896,TensorFlow,2048,0.76,
203,"{""tf_image_model_url"": ""https://tfhub.dev/tensorflow/efficientnet/b1/feature-vector/1"", ""output_key"": null, ""required_image_size"": {""height"": 240, ""width"": 240}}",16,240,2022-01-24,6575232,TensorFlow,1280,0.791,
59,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/mobilenet_v1_100_224/feature_vector/4"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2021-11-29,3206976,TensorFlow,1024,0.71,
201,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/inception_v3/feature_vector/5"", ""output_key"": null, ""required_image_size"": {""height"": 299, ""width"": 299}}",16,299,2022-01-24,21802784,TensorFlow,2048,0.7712,
202,"{""tf_image_model_url"": ""https://tfhub.dev/tensorflow/efficientnet/b0/feature-vector/1"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2022-01-24,4049564,TensorFlow,1280,0.771,
207,"{""tf_image_model_url"": ""https://tfhub.dev/tensorflow/efficientnet/b5/feature-vector/1"", ""output_key"": null, ""required_image_size"": {""height"": 456, ""width"": 456}}",16,456,2022-01-24,28513520,TensorFlow,2048,0.836,
208,"{""tf_image_model_url"": ""https://tfhub.dev/tensorflow/efficientnet/b6/feature-vector/1"", ""output_key"": null, ""required_image_size"": {""height"": 528, ""width"": 528}}",16,528,2022-01-24,40960136,TensorFlow,2304,0.84,
209,"{""tf_image_model_url"": ""https://tfhub.dev/tensorflow/efficientnet/b7/feature-vector/1"", ""output_key"": null, ""required_image_size"": {""height"": 600, ""width"": 600}}",16,600,2022-01-24,64097680,TensorFlow,2560,0.843,
228,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/inception_v1/feature_vector/4"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2022-01-24,5592624,TensorFlow,1024,0.7,
229,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/inception_v2/feature_vector/4"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2021-11-29,10153336,TensorFlow,1024,0.74,
230,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/resnet_v1_50/feature_vector/4"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2021-11-29,23508032,TensorFlow,2048,0.75,
231,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/resnet_v1_101/feature_vector/4"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2021-11-29,42500160,TensorFlow,2048,0.76,
232,"{""tf_image_model_url"": ""https://tfhub.dev/google/imagenet/resnet_v1_152/feature_vector/4"", ""output_key"": null, ""required_image_size"": {""height"": 224, ""width"": 224}}",16,224,2021-11-29,58143808,TensorFlow,2048,0.77,
